id;LOCphy_C;MVG_C;Volume_C;MI_C;qwen2_5_coder_32b_SLOC_R;qwen2_5_coder_32b_Cyclomatic_R;qwen2_5_coder_32b_Volume_R;qwen2_5_coder_32b_MI_R;qwen2_5_coder_32b_total_unsafe_block_R;qwen2_5_coder_32b_avg_unsafe_stmt_R;qwen2_5_coder_32b_total_uniq_type_R
less-633:main_prep:save;7.0;1.0;210.831;111.421;7.0;1.0;162.51574464281416;112.77422617193739;1;3.0;1
libxml2:libxml2-py_prep:libxml_xmlXPathEqualValues;13.0;3.0;655.39;95.0346;16.0;2.0;435.969275314045;94.02068948842127;0;0.0;3
uucp-1.07:recep_prep:fsysdep_remember_reception;39.0;7.0;1369.84;72.4836;18.0;3.0;586.6796462937097;90.33868711996728;1;10.0;1
sed-4.9:sockets_prep:gl_sockets_startup;5.0;1.0;59.207;123.476;3.0;1.0;31.69925001442312;134.9997572104644;0;0.0;1
transcoder-set:PAINTING_FENCE_ALGORITHM_prep:cmpfunc;1.0;1.0;128.0;145.539;3.0;1.0;77.70923408096293;130.33701563969998;1;1.0;2
transcoder-set:FIND_SUM_EVEN_INDEX_BINOMIAL_COEFFICIENTS_prep:sort;1.0;1.0;110.361;146.31;5.0;1.0;196.21499122004107;117.24520886784688;1;1.0;2
tulipindicators-0.9.1:benchmark_prep:vidya_option_setter;6.0;1.0;197.153;114.267;8.0;1.0;212.60741193467962;109.21392091613691;1;3.0;3
transcoder-set:DECIMAL_REPRESENTATION_GIVEN_BINARY_STRING_DIVISIBLE_10_NOT_prep:main;14.0;3.0;578.7;94.4812;12.0;3.0;531.7739459608056;97.418176149184;0;0.0;2
libxml2:types_prep:libxml_xmlXPathParserContextPtrWrap;11.0;2.0;371.382;100.924;11.0;2.0;271.02858762331766;102.56253019622108;1;4.0;1
make-4.4.1:expand_prep:expand_argument;19.0;5.0;787.56;87.4716;11.0;2.0;284.26767504471167;102.31453175809321;0;0.0;2
transcoder-set:DISTRIBUTING_ITEMS_PERSON_CANNOT_TAKE_TWO_ITEMS_TYPE_prep:f_filled;1.0;1.0;59.207;149.549;6.0;1.0;97.67226489021297;117.91908487881895;0;0.0;3
libxml2:libxml2-py_prep:libxml_xmlXPathIsNaN;11.0;2.0;396.336;100.586;9.0;2.0;295.0;105.37268999418616;0;0.0;3
json.h:allow_hexadecimal_numbers_prep:utest_run_allow_hexadecimal_numbers_read_write_pretty_read;7.0;1.0;301.195;109.566;9.0;1.0;328.0872376492793;105.04990823154183;1;5.0;2
optipng-0.7.8:inflate_prep:inflateReset;9.0;2.0;286.727;105.521;12.0;2.0;261.3428625411059;101.34217966035604;1;3.0;1
wget-1.21.4:css__prep:yyalloc;4.0;1.0;53.7744;127.591;3.0;1.0;55.506595772116384;132.0866712701303;0;0.0;1
rcs-5.10.1:b-complain_prep:fatal_sys;6.0;1.0;101.579;117.715;6.0;1.0;79.9544533632097;118.95991947267677;1;2.0;1
robotfindskitten:robotfindskitten_prep:main;24.0;4.0;733.206;84.2889;24.0;4.0;744.6296590932159;84.2085155853085;0;0.0;2
transcoder-set:HEXAGONAL_NUMBER_prep:min;1.0;2.0;83.7618;147.515;3.0;2.0;75.28421251514428;130.27187457489046;0;0.0;2
transcoder-set:SUM_MATRIX_ELEMENT_ELEMENT_INTEGER_DIVISION_ROW_COLUMN_1_prep:len;1.0;1.0;121.114;145.827;3.0;1.0;98.09910819000814;129.1253938899138;0;0.0;1
mcsim-6.2.0:random_prep:InterpolateX;6.0;1.0;281.108;112.422;7.0;1.0;339.8342010754868;108.93827474046029;1;1.0;4
transcoder-set:SUM_MANHATTAN_DISTANCES_PAIRS_POINTS_prep:main;36.0;3.0;9558.18;64.5982;39.0;3.0;1899.1128757139445;71.70476215997817;0;0.0;8
tar-1.34:exit_prep:fatal_exit;8.0;2.0;124.0;111.788;9.0;2.0;144.94647495169912;109.06786625991096;1;4.0;0
tmux:utf8_prep:utf8_set;7.0;1.0;232.193;110.919;7.0;1.0;253.82374477961895;110.45572702393588;1;2.0;2
gawk-5.2.2:gawkapi_prep:print_ext_versions;7.0;2.0;201.738;111.42;7.0;2.0;151.23612512626255;112.91827532370044;0;0.0;0
bc-1.07.1:number_prep:bc_int2num;28.0;5.0;792.671;81.1562;36.0;5.0;1231.7620993173762;74.7927478709443;2;1.5;4
nettle-3.9.1:chacha-crypt_prep:nettle_chacha_crypt;24.0;4.0;621.476;85.1486;17.0;2.0;613.1066573880208;91.26554147724548;0;0.0;5
findutils-4.9.0:pred_prep:pred_exec;5.0;1.0;127.438;119.489;3.0;1.0;112.0;128.43628679284214;1;1.0;3
dap-3.10:sbstrans_prep:countparts;12.0;1.0;410.0;99.2305;12.0;1.0;578.2493235848135;97.4424855904231;1;7.0;3
nettle-3.9.1:cast128_prep:nettle_cast128_set_key;5.0;1.0;98.0991;120.85;5.0;1.0;79.9544533632097;121.91352869273885;1;1.0;2
json.h:allow_leading_or_trailing_decimal_point_prep:json_extract_get_value_size;26.0;5.0;694.562;83.0438;22.0;6.0;487.2818866097718;87.36312980876428;1;10.0;2
transcoder-set:DIFFERENCE_BETWEEN_HIGHEST_AND_LEAST_FREQUENCIES_IN_AN_ARRAY_prep:cmpfunc;1.0;1.0;128.0;145.539;3.0;1.0;77.70923408096293;130.33701563969998;1;1.0;2
tmux:server-client_prep:server_client_get_path;13.0;3.0;457.872;96.8996;18.0;2.0;526.154789928524;91.1348811983204;1;12.0;2
transcoder-set:NEXT_POWER_OF_2_prep:cmpfunc;1.0;1.0;128.0;145.539;3.0;1.0;77.70923408096293;130.33701563969998;1;1.0;2
