id;LOCphy_C;MVG_C;Volume_C;MI_C;qwen2_5_coder_32b_SLOC_R;qwen2_5_coder_32b_Cyclomatic_R;qwen2_5_coder_32b_Volume_R;qwen2_5_coder_32b_MI_R;qwen2_5_coder_32b_total_unsafe_block_R;qwen2_5_coder_32b_avg_unsafe_stmt_R;qwen2_5_coder_32b_total_uniq_type_R
transcoder-set:EQUILIBRIUM_INDEX_OF_AN_ARRAY_1_prep:cmpfunc;1.0;1.0;128.0;145.539;3.0;1.0;77.70923408096293;130.33701563969998;1;1.0;2
bc-1.07.1:scan_prep:yyget_in;4.0;1.0;38.0537;129.389;3.0;1.0;41.51317942364757;133.5972239664512;1;1.0;0
mtools-4.0.43:mdu_prep:mdu;40.0;11.0;1526.19;70.5914;51.0;5.0;1055.5654506936592;69.95289900220675;2;4.0;5
libxml2:xmlschemas_prep:xmlSchemaFreeValidCtxt;72.0;21.0;3191.85;54.9325;3.0;1.0;24.0;136.4466010057673;0;0.0;1
tulipindicators-0.9.1:atan_prep:ti_atan;1.0;2.0;413.433;139.213;10.0;2.0;307.67071501168664;103.44716495287322;0;0.0;4
nettle-3.9.1:der-iterator_prep:nettle_asn1_der_decode_constructed;7.0;3.0;403.254;107.589;8.0;2.0;328.0872376492793;106.72799340917524;1;3.0;2
transcoder-set:COUNT_SET_BITS_IN_AN_INTEGER_3_prep:f_filled;1.0;1.0;22.4588;154.589;3.0;1.0;31.69925001442312;134.9997572104644;0;0.0;1
json.h:allow_no_commas_prep:json_write_pretty;42.0;10.0;1173.78;71.3962;4.0;1.0;162.51574464281416;121.84000193649123;1;1.0;5
libxml2:xmlmemory_prep:xmlGcMemGet;11.0;6.0;558.668;97.8812;10.0;6.0;394.65566267956785;101.2324505412485;0;0.0;5
transcoder-set:POSITION_OF_RIGHTMOST_SET_BIT_1_prep:len;1.0;1.0;121.114;145.827;3.0;1.0;71.69925001442311;130.75558342857153;1;1.0;1
tulipindicators-0.9.1:max_prep:ti_max_ref;15.0;6.0;867.474;90.5685;18.0;6.0;766.383321735026;88.25922870620444;1;13.0;4
patch-2.7.6:pch_prep:pch_name;5.0;2.0;129.324;119.183;7.0;2.0;110.44611534953322;114.55271124305273;0;0.0;0
cpio-2.14:paxerror_prep:exec_fatal;5.0;1.0;64.725;123.012;3.0;1.0;59.207035490257475;131.75107096021492;0;0.0;1
